stock_id,score,rank
002422,0.14939898,172
601985,0.14870541,173
000100,0.14843714,174
001965,0.14806297,175
601939,0.14413106,176
002600,0.14377806,177
000002,0.14285794,178
002311,0.14044693,179
600036,0.13906083,180
000963,0.1390009,181
601088,0.1385586,182
002236,0.13844329,183
000786,0.1376333,184
601169,0.13707057,185
601006,0.13702343,186
601881,0.136152,187
600085,0.13525581,188
000063,0.13518167,189
600930,0.13315627,190
601898,0.13240337,191
601901,0.13212636,192
600377,0.1309632,193
600886,0.13058329,194
600926,0.12953943,195
600941,0.12894136,196
601059,0.12874785,197
600795,0.12682438,198
601012,0.12600109,199
600660,0.12496714,200
601601,0.124137625,201
300251,0.12382847,202
601077,0.12278,203
000568,0.122466534,204
300413,0.12237213,205
002179,0.12150444,206
600999,0.11798876,207
600015,0.11751519,208
600570,0.117202096,209
600803,0.1168912,210
600887,0.1165323,211
000001,0.1164052,212
601456,0.114660375,213
002027,0.11454322,214
601888,0.11450189,215
300122,0.11400502,216
000157,0.112024345,217
600415,0.11176642,218
601669,0.10987432,219
601211,0.10790441,220
601877,0.107766956,221
601658,0.10545293,222
600029,0.105125785,223
002252,0.10463933,224
600372,0.10438121,225
302132,0.10363497,226
601236,0.102323145,227
601288,0.09973193,228
002352,0.09905782,229
600011,0.098323956,230
000858,0.098217584,231
603392,0.09774296,232
601868,0.097393595,233
601229,0.095971614,234
601328,0.094689995,235
601878,0.093761176,236
000166,0.09344399,237
000876,0.09324964,238
601319,0.0887288,239
000651,0.08844189,240
600436,0.08645813,241
300628,0.08360191,242
000725,0.08338369,243
001391,0.08289525,244
601377,0.0821287,245
601857,0.079842,246
600061,0.079601735,247
601066,0.07858193,248
601136,0.07819288,249
603195,0.077141225,250
002304,0.076739416,251
600760,0.074706465,252
600000,0.07339774,253
600025,0.072613716,254
600585,0.07162016,255
601117,0.07027309,256
601766,0.07026674,257
600900,0.07009392,258
601618,0.06765662,259
600674,0.067583814,260
000538,0.06143663,261
000708,0.06058622,262
600161,0.05896245,263
601633,0.05653226,264
601607,0.054330453,265
600519,0.05425947,266
601988,0.054165076,267
600050,0.053679336,268
600600,0.05353697,269
600905,0.05168263,270
601111,0.050957132,271
600009,0.049199175,272
000625,0.04847335,273
600918,0.04613611,274
600196,0.044647392,275
601788,0.0442177,276
601238,0.04214612,277
601818,0.041731723,278
000768,0.041565828,279
000999,0.038110353,280
300999,0.03363738,281
601166,0.03242887,282
600406,0.02898401,283
600018,0.028951462,284
601800,0.028334975,285
600028,0.027850565,286
601018,0.026550902,287
000661,0.024911864,288
601916,0.023033176,289
000617,0.019148376,290
601668,0.019019026,291
600016,0.017960206,292
601808,0.01742436,293
601186,0.014930975,294
601919,0.008361485,295
600104,0.005292643,296
601390,-0.0065625384,297
601816,-0.0097036585,298
688009,-0.01279138,299
300979,-0.01640135,300
